employee_id,name,age,gender,department,position,years_at_company,salary,performance_score,overtime_hours,satisfaction_score,has_resigned
1,직원1,56,F,마케팅,대리,17,80184000,89.0,25,2.63,0
2,직원2,44,F,개발,차장,2,134376000,95.4,18,3.77,0
3,직원3,57,M,마케팅,대리,19,113308000,96.8,30,4.38,0
4,직원4,39,M,개발,사원,1,62820000,80.5,20,2.43,1
5,직원5,27,F,영업,차장,11,115980000,85.2,16,1.93,0
6,직원6,53,M,영업,차장,10,200260000,76.8,23,3.51,0
7,직원7,51,M,영업,사원,5,84730000,76.7,18,4.68,0
8,직원8,29,M,마케팅,사원,16,30180000,61.5,24,1.73,0
9,직원9,55,F,마케팅,사원,24,38580000,77.4,21,4.21,0
10,직원10,46,F,재무,사원,5,83800000,86.9,24,2.91,1
11,직원11,59,M,개발,부장,24,180960000,76.9,12,4.2,0
12,직원12,31,M,인사,과장,23,120080000,94.9,20,3.02,1
13,직원13,30,M,인사,대리,12,114257000,73.3,26,2.51,0
14,직원14,50,M,마케팅,차장,4,110620000,65.3,18,3.79,0
15,직원15,25,F,개발,대리,23,163347600,92.5,20,4.6,1
16,직원16,43,M,마케팅,대리,6,100347000,87.0,18,2.28,0
17,직원17,31,F,개발,차장,19,188712000,69.7,15,2.84,0
18,직원18,36,M,개발,차장,9,168912000,81.5,15,1.92,1
19,직원19,44,F,개발,차장,12,130848000,76.1,20,1.73,1
20,직원20,47,F,개발,대리,15,91197600,97.6,20,4.11,0
21,직원21,49,M,영업,과장,16,177024000,84.3,18,1.8,0
22,직원22,54,F,재무,사원,13,96220000,66.3,22,4.17,0
23,직원23,53,F,개발,과장,21,228403200,80.1,15,2.72,0
24,직원24,55,F,기획,부장,24,161550000,94.5,22,4.98,0
25,직원25,42,M,기획,사원,7,41590000,86.9,26,1.79,0
26,직원26,43,F,기획,과장,23,122016000,93.7,12,1.37,1
27,직원27,28,F,재무,대리,20,130728000,70.0,26,1.3,1
28,직원28,25,M,마케팅,사원,4,67220000,95.5,22,4.34,0
